"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Primacy","Standalone","Demo","N/A","N/A","N/A","N/A","Spielcraft Games","Hall B : Orange, Table 38",2,"",12,"377946","645404","","2026-00-00","",""
"One in a Million","Standalone","Demo","N/A","N/A","N/A","N/A","Spielcraft Games, Everything's on the Table",", ",1,"Crazy sounding card game with unique decks",16,"466074","793556","","2026-00-00","",""
"Gnomeville","Standalone","Demo","N/A","N/A","N/A","N/A","Adam's Apple Games, LLC","1443",1,"",46,"455727","775700","","0000-00-00","Q3 2026",""
"EXIT: The Game – The Circus Mystery","Standalone","For Sale","USD",17.95,"USD",16.16,"KOSMOS","2605",2,"",14,"445019","784437","692888","0000-00-00","Q1 2026",""
"EXIT: The Game – Kids: The Great Bee-scape","Standalone","For Sale","USD",17.95,"USD",16.16,"KOSMOS","2605",2,"",6,"449213","784436","692870","0000-00-00","Q1 2026",""
"Combo Creatures: The Witty Ones","Standalone","For Sale","N/A","N/A","N/A","N/A","DV Games","2109",1,"Co-designed by Mindbug designer",15,"472805","804793","DVG9707","2026-07-28","",""
"Magicats","Standalone","For Sale","USD",35,"USD",35,"Korea Boardgames","2855",1,"New Knizia",22,"462437","787125","","2026-04-11","",""
"Pulitzer","Standalone","For Sale","USD",60,"N/A","N/A","25th Century Games","2219",2,"",58,"428231","792716","","2026-09-00","",""
"Cola Wars","Standalone","Demo","N/A","N/A","N/A","N/A","One More Turn Games","2745",1,"",93,"429373","728952","","0000-00-00","",""
"First Giants","Standalone","For Sale","USD",34,"USD",34,"Space Cowboys","1109, 809, 817, 929 (Asmodee Booth)",1,"Guild of Merchant Explorers designer",50,"462464","787172","SCNJC01EN","2026-05-16","",""
"Malagasy","Standalone","Demo","N/A","N/A","N/A","N/A","BluEncore","ICC Hall C",1,"Designer of Bonsai",14,"439989","748149","","0000-00-00","Q2 2026",""
"The Creeps: The Monster-Trapping Game","Standalone","Demo","N/A","N/A","N/A","N/A","Off the Page Games","Hall B Orange Table 40",2,"Designer of Hall of the Mountain King, Belfort",8,"457370","778475","OTPGTC001","2026-07-01","",""
"Corps of Discovery: A Game Set in the World of Manifest Destiny","Standalone","For Sale","N/A","N/A","N/A","N/A","Off the Page Games","2321",2,"",21,"396895","674442","OTPGCOD001","2025-04-00","",""
"Kingdom Come: Deliverance – The Board Game","Standalone","Demo","N/A","N/A","N/A","N/A","Czech Games Edition (CGE)","Room 235",2,"",125,"473897","806759","","0000-00-00","Q4 2026",""
"Viking Traders","Standalone","For Sale","USD",39.99,"N/A","N/A","Outset Media","162",2,"",16,"472328","803890","","0000-00-00","",""
"7th Seal","Standalone","For Sale","N/A","N/A","N/A","N/A","Devir","2811",1,"Solo Game",104,"457575","779027","","0000-00-00","August 2026",""
